value,set,algo
0.987037037037037,test,rf
0.9861111111111112,test,rf
0.9925925925925926,test,rf
0.9902777777777778,test,rf
0.9884259259259259,test,rf
0.9856481481481482,test,rf
0.9907407407407407,test,rf
0.9907407407407407,test,rf
0.9893518518518518,test,rf
0.9893518518518518,test,rf
0.9879629629629629,test,rf
0.9833333333333333,test,rf
0.9907407407407407,test,rf
0.9875,test,rf
0.9898148148148148,test,rf
0.9845708775313404,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.3461909353905497,validation,rf
0.5333333333333333,test,svm linear
0.5402777777777777,test,svm linear
0.5310185185185186,test,svm linear
0.5421296296296296,test,svm linear
0.5375,test,svm linear
0.5361111111111111,test,svm linear
0.538425925925926,test,svm linear
0.5430555555555555,test,svm linear
0.5361111111111111,test,svm linear
0.5518518518518518,test,svm linear
0.538425925925926,test,svm linear
0.5314814814814814,test,svm linear
0.5296296296296297,test,svm linear
0.537962962962963,test,svm linear
0.5342592592592592,test,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
0.0467695274831244,validation,svm linear
